,Unnamed: 0,sample_id,num_shot,prompt,response,reflection_gpt,reflection_human,gpt_valid_reflection
233,110,114,2,Please describe a time where you smoked routinely without thinking about it, When I've got a lot on my mind I feel as if it gives me the go ahead to smoke. I don't even know how many I smoke during these periods.,"Smoking is something you do regularly, so you are aware of its effects. ",Smoking helps you think.,1
234,111,115,2,Please describe a time where you missed your routinely smoke, When I have none left at night time and the shop is shut. I feel as if I wont be able to cope. I certainly don't sleep well.,You are missing out on something good! ,Not smoking makes you agitated.,1
235,112,116,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had more of a positive and determined attitude. ,"You are not in control of what happens to you, but you can make choices that will help you stay healthy.",Feeling positive and determined helped you to not smoke.,0
236,113,117,2,Please describe a time where you were worried about the smell of cigarettes but ended up smoking, When I was having visitors around for dinner. ,You can tell others how bad smoking is by talking about its effects on your health. ,You're worried about how the smell of smoking affects others.,0
237,114,118,2,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my children's friends come over to our home.,Your worry is that your family will be exposed to cigarette smoke. ,You're worried about how the smell of cigarettes affect others.,1
238,115,119,2,So you think Socializing is good and bad at the same time Please describe a time where you were with other smokers and ended up smoking, When somebody offered me a cigarette I felt obliged to smoke it even though I didn't want one,You feel obligated to smoke because someone else offers you a cigarette. ,You want to smoke if someone offers you one.,1
239,116,120,2,Please describe a time where you were with other smokers and you didn't smoked, When I was trying to cut down on the amount I smoked I reffused to smoke just because they were.,"You don't like people who offer you cigarettes, so you refuse them. ",You did not smoke even around other smokers.,0
240,117,121,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was determined and more motivated to succed.,"You are still determined, but less so than before. ",You were motivated to not smoke.,1
241,118,122,2,Please express a time where you experienced social stigma but still ended up smoking, When I was the only smoker amongst a group of friends on a night out. I smoked before we went into the theatre and they stood with me.,You avoided being stigmatized by others. ,You are worried about what your friends think of your smoking.,0
242,119,123,2,Please express a time where you experienced social stigma and didn't smoke, Standing outside a church after a wedding. I couldn't see any other smokers and felt too embarrassed to smoke because of this.,"Your friends don't want you to be seen as an ""outcast"" for being a smoker. ",Being around non-smokers made you not smoke.,0
243,120,124,2,Please describe a time where you experienced stress and ended up smoking, When I couldn't  find the tv remote anywhere. It stressed me out so I smoked instead.,"Stress is an emotion that can be caused by many things, including smoking. ",Smoking helped you relieve stress.,1
244,121,125,2,Please describe a time where you experienced stress and didn’t end up smoking," After over spending in the supermarket, I didn't smoke because I thought It would be counter productive",Stress relieving cigarettes were helpful for you.,You're worried that smoking will cause stress.,0
245,122,126,2,"I appreciate you confirming my understanding I understand, you like the flavour of cigarettes I would like to know more about your reasoning, is it possible to use more words in your sentences Are there other things that are good about smoking? If so, please tell me", It helps me feel less stressed.,Is this something you enjoy doing?,Smoking relieves your stress.,1
246,123,4,3,"Okay, so you associate Smell as something negative about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", My stepdad hates the smell of cigarettes so I do my best to try to avoid smelling like smoke even though I am a smoker. Mainly out of respect and understanding that it's not the best smell in the world.,Smoking helps you deal with stress. ,You think smoking has a bad smell and it affects the people around you.,1
247,124,5,3,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When I was going to my doctor. I refrained from smoking on the way so she wouldn't smell it and be reminded to lecture me about smoking.,You don't want others to notice your cigarette odor. ,You don't want others to judge your smoking habits.,1
248,125,6,3,What is good about smoking?, its more the habit of holding the cigarette and reading outside when i do,Smoking makes you feel better. ,Smoking is something you do out of habit.,0
249,126,7,3,"Sorry, I don't understand what you mean by ""its more the habit of holding the cigarette and reading outside when i do "". Can you write it in a different way Don't worry, I'll give you options if I can't get what you're saying", the rush of the tobacco is relaxing,The nicotine is addictive and causes cravings for more. ,You like how smoking makes you feel.,0
250,127,8,3,"Thank you for confirming my understanding I see, you think that cigarettes are expensive I would like to know more about your reasoning, is it possible to use more words in your sentences What else do you find negative about smoking?", the sheer price now is becoming very hard to pay,It's not just the cost of buying them but also the fact that they take up space in your house. ,The cost of smoking is a concern for you.,0
251,128,9,3,"Let me see if I understand, you want to be a good role model for the people close to you Do you have more negative things about smoking? Tell me if you can think of any", Aging or appearance change is always a fear,Ageing is not an issue for most smokers. ,You are worried about how smoking affects your appearance.,0
252,129,10,3,"Okay, so you associate Health as something negative about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", I recently had a cervical cancer scare,Smoking has caused many problems for you. ,The health effects of smoking concerns you.,1
253,130,11,3,Please describe a time where you contemplated the consequences of smoking on your health and then did not smoke that time, i have been trying to kick the habit with vape but so far havent succeeded,Smoking has become an issue for you. ,You looked for alternatives to smoking but haven't been successful so far.,1
254,131,12,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i havent been able to completely stop so far i didnt like the feel of the vape in my mouth and it didnt feel the same in my hand,Your attempts at quitting failed because you didn't find an alternative to smoking. ,You found an alternative but it was not effective.,1
255,132,13,3,"From what I gather, it seems that you think Having something in my Hand is something good about smoking Please describe a time where you smoked because you enjoy the feeling of holding a cigarette", I get so much in the habit that i do find my hands getting very twitchy and it starts me feeling like i need another,Your hands are becoming more twitchy than usual. ,Smoking is a habit for you.,1
256,133,14,3,Please describe a time where you wanted to enjoy holding a cigarette and didn't end up smoking, i was late for a appointment and couldnt have one before and i got very agitated and twitchy it wasnt a nice sensation,It's hard to quit smoking if you don't want to. ,Holding a smoke helped you relax.,0
257,134,15,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Like i said above its like hot sweats and feeling very agitated and unable to focus,It's hard to imagine how stressful this must be. ,You were agitated by not smoking.,1
258,135,16,3,"Let me see if I recall correctly, so you think of Nicotine dependence as something bad about smoking Please describe a time where you had a compelling feeling to smoke and actually smoked", when i was under a lot of stress after a relations death,"When you are stressed out or anxious, nicotine can help calm your nerves. ",Smoking helped you relive stress.,1
259,136,17,3,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, when i have been late and havent had the time but its never good if i do this as it makes me feel really bad,This is an example of how nicotine can help you cope with stressful situations. ,You could not smoke due to time constraints.,0
260,137,18,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty,You were stressed out because you couldn't get your nicotine fix. ,Not smoking made you less focused.,1
261,138,19,3,"From what I gather, it seems that you think Cost is something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", everytime if i am honest i am ashamed i havent been able to stop when i take in the cost,It's hard for people who are addicted to cigarettes to quit because they don't want to be seen as weak or stupid. ,You are concerned about the cost of smoking.,0
262,139,20,3,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, all the time i dont have a lot of extra money so really have to budget some weeks i have to cut down to get by and its very hard,It's difficult for you to make ends meet without working. ,The cost of smoking is a concern for you.,0
263,140,21,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i felt more in control of external stuff but had a few stressful events that pushed me back down,It's difficult to avoid stress. ,Being in control helped you to not smoke.,1
264,141,22,3,"Let me see if I recall correctly, so you think of Focus as something good about smoking Please describe a time where you wanted to focus on a task and ended up smoking", occasionally i will try and concentrate and it agitates me and makes me want to put a cigarette in my hand,Your desire to be focused was helpful in preventing you from smoking. ,Smoking helps you focus.,0
265,142,23,3,Please describe a time where you wanted to focus on a task and didn't end up smoking, Sometimes i can power through the feeling but sometimes it can really stress me out,You may be trying too hard to stay focused. ,You can sometimes focus without having to smoke.,0
266,143,24,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I felt more of a pressure to complete things in one sit in and made myself push through the craving,It's important to be aware of your thoughts and feelings. ,Working on something helps you not smoke.,1
267,144,25,3,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,"When stressed, your mind is less likely to be focused on what's going on around you. ",Smoking helps you focus.,0
268,145,26,3,Please describe a time where you experienced stress and didn't end up smoking, when i couldnt smoke like when i was in public i do sometimes get anxious in large crowds but of course it wouldnt be right to smoke in public,When you are stressed you tend to over-think your situation. ,You don't like smoking in public.,1
269,146,27,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had no release from the tension so ended up buying chewing gum,Chewing gum is relaxing. ,You found an alternative to smoking to help you relax.,1
270,147,28,3,"Okay, so you associate Stigma or shame as something negative about smoking Please express a time where you experienced social stigma but still ended up smoking"," I think its a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas",You are not allowed to smoke inside. ,You feel others judge your smoking.,0
271,148,29,3,Please express a time where you experienced social stigma and didn't smoke, when we went out with friends that didnt smoke and they hate the smell for them we held off till later,You felt people judged you because of your smoking. ,You did not smoke because of your friends.,1
272,149,30,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i tried to keep myself distracted by doing things other than routine,You felt more comfortable being around people who smoked. ,Doing something outside your routine helped you to not smoke.,0
273,150,31,3,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,Your concern over your physical appearance was probably caused by your fear of getting cancer. ,Skin aging is a concern of smoking for you.,0
274,151,32,3,Please describe a time where you thought about the effect of smoking on your appearance and didn't end up smoking, i didnt stop if i'm honest i just hydrated my skin more and used more exfoliating products,Your skin was looking better before you started using these products. ,You addressed the side effects of smoking in other ways.,1
275,152,33,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, nothing really comes to mind sorry,Nothing came to mind that would make this situation any better or worse. ,You don't remember what helped you not smoke.,1
276,153,34,3,"Let me see if I recall correctly, so you think of Poor role model as something bad about smoking Please describe a situation where you thought about wanting to be a good role model but ended up smoking", i am a mother i never smoke in front of my daughter i go outside and never smoke in front of her,Your desire to be a role model was strong enough that you wanted to do things differently than others. ,You're worried about how others will learn from your smoking.,1
277,154,35,3,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,You've been trying hard to quit for years. ,You do not want your kids to start smoking.,1
278,155,36,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,You are trying hard to keep your children safe. ,Keeping yourself distracted helped you to not smoke.,0
279,156,37,3,"Ok, so you associate Routine as something positive about smoking Please describe a time where you smoked routinely without thinking about it", i read a awful lot and have got into the habbit of reading my book outside with a cup of tea.  This i think is the worst thing as i associate it as the habit of doing all together,Smoking is associated with routine. ,Smoking is part of a routine for you.,1
280,157,38,3,Please describe a time where you missed your routinely smoke, just when i have been late or rushed,Your schedule was disrupted by missing your regularly scheduled cigarette. ,Being busy helped you to not smoke.,0
281,158,39,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, wasnt really able to without completely changing my routine,You can't change what you don't do. ,You changed your routine to help you stop smoking.,0
282,159,40,3,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", i dont like that it does linger on clothes and breath and it can be easily detected by no smokers,It's easy to detect the scent of tobacco in clothing. ,You don't like the smell smoking leaves.,1
283,160,41,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting",You are doing everything right. ,You don't like how others perceive your smoking.,0
284,161,42,3,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.",Smoking causes many problems for those who are affected by it. ,"The cost, health risks, price, and perception are bad things about smoking.",1
285,162,43,3,"Let me see if I recall correctly, so you think of Cost as something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", When I smoked more then usual and ran out of cigarettes. I thought about buying more and thought about the cost,You didn't want to quit because you felt guilty for not being able to afford to stop. ,The price of smoking made you stop.,1
286,163,44,3,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, No money. Day before payday It was either lunch or ciarettesr,Lunch or cigarettesr?,The cost of smoking stopped you from buying cigarettes.,1
287,164,45,3,"From what I gather, it seems that you think Health is something bad about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", When a friend was diagnosed with COPD. Thought about my own health,You were worried about yourself. ,Your friend's health made you think about your own smoking.,1
288,165,46,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was not able to breathe right,You could have gone outside without breathing in smoke. ,You were concerned for your health.,0
289,166,47,3,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", In a crowded elevator. Just finished smoking a cigarette,You smoked because you didn't want people smelling your cigarette. ,You were worried about how others perceived the smell of smoking.,0
290,167,48,3,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,You felt uncomfortable being around smokers. ,You had to smoke alone.,0
291,168,49,3,What is it about smoking that makes it good?, It makes me feel less anxious and relaxed sometimes,Smoking helps you relax. ,Smoking relaxes you.,1
292,169,50,3,"Thank you for confirming my understanding I see, you may smoke because you feel stressed Do you have more positive things about smoking? Tell me if you can think of any", It also lets me feel less awkward in some situations,You felt less awkward when you smoked. ,Smoking helps you be less awkward.,1
293,170,51,3,"I appreciate you confirming my understanding I see, you feel compelled to smoke What else do you find positive about smoking?", I feel that it sometimes breaks the ice for a conversation with another smoker,Smoking gives you an excuse not to talk to someone who doesn't like cigarettes,Smoking helps you be social with other smokers.,0
294,171,52,3,"Sorry, I didn't understand what you said. Can you write it in a different way Don't worry, I'll give you options if I can't get what you're saying", It helps to start a conversation,Smoking helps people talk to each other. ,Smoking is a social activity for you.,1
295,172,53,3,"I appreciate you confirming my understanding I see, you don't like the smell of cigarettes Do you have more negative things about smoking? Tell me if you can think of any", it is harming others by second hand smoke,Smoking harms people around you. ,You're worried about how smoking affects others around you.,1
296,173,54,3,Please continue, I get cranky when I can not smoke,I'm sure there are many more examples but these were just some of the ones that came up during our discussion.,Smoking affects your mood.,0
297,174,55,3,Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette?, today I am broke and still had to buy them. I borrowed money,Your financial situation has changed since last year. ,You're worried about how smoking affects you financially.,0
298,175,56,3,Please describe a time where you thought about the cost of smoking and it prevented it you from smoking a cigarette, I had to eat instead with my money so I went with out,You're concerned that smoking will affect your health in some way. ,The cost of smoking prevented you from smoking.,1
299,176,57,3,Please describe a time where you were worried about the smell of cigarettes but ended up smoking, at a friends house my clothes were all stinky they said I was embarrassed,"Your clothing smelled bad, which made you feel uncomfortable. ",The smell of smoking concerns you.,1
300,177,58,3,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, the next time I went there to visit I refrained ,Your fear is preventing you from smoking. ,The smell stopped you from smoking.,1
301,178,59,3,Please desccribe a situation where you thought about wanting to be a good role model but ended up smoking, When my kids were younger I should have quyit but did not,"You shouldn't want your children to look up to you, you are an adult now. ",You were worried about being a good role model.,0
302,179,60,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was able to do the right thing and not feel guilty,You are able to stop smoking because you know what is best for your health. ,Stopping smoking made you feel good.,1
303,180,61,3,"I get it, you think Socializing is both good and bad Please describe a time where you were with other smokers and ended up smoking", When ever I am with other smokers it makes it feel ok to smoke,It's OK to smoke in groups. ,You like to smoke socially.,1
304,181,62,3,Please describe a time where you were with other smokers and you didn't smoked, I smelt the way my buddies smelt and I felt good not to be stinky,Smelling your friends' breath makes you want to smoke. ,You don't like the smell of smoke.,0
305,182,63,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was not so socialable with the smokers as much,Smoking has changed your life for the better. ,Not smoking made you less social with other smokers.,0
306,183,64,3,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus,Smoking made you more likely to miss your bus or run late for work. ,You saw how your health was affected by smoking.,1
307,184,65,3,Please describe a time where you contemplated the consequences of smoking on your health and then did not smoke that time, I went hiking and wanted to be able to climb the mountain with my kids and so I did not smoke,Your decision to stop smoking helped you enjoy life more. ,You were worried about how smoking affected your health.,1
308,185,66,3,"I get it, you think Nicotine dependence is both good and bad Please describe a time where you had a compelling feeling to smoke and actually smoked", All the time everyday all day ,Your feelings were strong enough for you to do something about it. ,You are always craving a smoke.,0
309,186,67,3,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, I was compelled to have a cigarrette before an interview but refrained,You felt like you could do without cigarettes. ,You wanted to smoke when you were stressed but refrained.,1
310,187,68,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I just thought of all the bad things that smoking does and it was enough for me to not smoke,You felt like you could stop at any moment. ,Thinking about the bad effects of smoking helped you stop.,1
311,188,69,3,Please describe a time where you experienced stress and ended up smoking, whenever I am stressed and pacing the floors I need a cigarrette and can not control my will power,Stress makes people crave nicotine. ,Being stressed increases your urge to smoke.,1
312,189,70,3,Please describe a time where you experienced stress and didn’t end up smoking, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy,Stress is what causes people to want to smoke. ,Thinking about your family stopped you from smoking.,1
313,190,71,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was proud and not disappointed in myself. ,Feeling good about yourself makes you want to quit. ,You felt good that you were able to stop yourself from smoking.,1
314,191,72,3,"Thank you for confirming my understanding Let me see if I understand, you don't like that smoking makes you smell badly I appreciate you making things simple for me, but please use more words in your sentences Can you think of more things that you dislike about smoking? If so, please tell me", I dislike the fact my children worry about me smoking,Your kids are worried because they know how bad it smells. ,You don't like how your smoking affects your family.,1
315,192,73,3,"I appreciate you confirming my knowledge Let me see if I get it, you think that cigarettes are expensive I would like to know more about your reasoning, is it possible to use more words in your sentences Do you have more negative things about smoking? Tell me if you can think of any", The cost of smoking is making life difficult financially,Your opinion on this matter is very interesting. ,The cost of smoking is a concern to you.,0
316,193,74,3,"Okay, so you associate Cost as something negative about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", I was behind in paying a bill but spent the money on cigarettes anyway,You had an opportunity to pay off some debt or make up some extra cash. ,The cost of smoking is affecting other areas of your life.,1
317,194,75,3,"Let me see if I recall correctly, so you think of Poor role model as something bad about smoking Please describe a situation where you thought about wanting to be a good role model but ended up smoking", My children moaned at me as they thought I would get ill from smoking but I smoked anyway,Your desire to become a good role model has been affected by the costs associated with smoking. ,You don't like how your children viewed your smoking.,1
318,195,76,3,Please describe a situation where you thought about being a good role model and that cause you not to smoke, After my daughter complained about her clothes smelling of smoke,Your desire to be a good role model causes you to continue smoking despite having health concerns. ,Your daughter's opinion made you stop smoking.,0
319,196,77,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I realised it was affecting my dughter,It wasn't until after she had been diagnosed with lung cancer that you stopped smoking. ,You're worried how smoking affects your daughter.,0
320,197,78,3,"Let me see if I recall correctly, so you think of Smell as something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", I worry when working in a school that the teachers and pupils think I smell of smoke,You've been told by others that you smell of cigarette smoke. ,You're worried how the smell of smoke affects those around you.,1
321,198,79,3,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling,You've stopped worrying about the smell of cigarette smoke. ,You're worried how your daughter is affected by the smell of smoke.,0
322,199,80,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Because of the effect it was having on my daughter,You're worried how smoking affects your daughter. ,You're worried about how smoking affected your daughter.,1
323,200,81,3,"Okay, so you associate Health as something negative about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", When I had a pain in my chest,You're concerned with the effects smoking has on your body. ,You're worried about how smoking affects your health.,1
324,201,82,3,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times",You're worrying that smoking will affect your work life. ,You didn't smoke at work even when you were stressed.,1
325,202,83,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was at work so unable to smoke,You don't want to be around people who are smokers. ,Being at work helped you to not smoke.,0
326,203,84,3,What is it about smoking that makes it good?, It relaxes me and gives me a sense of pleasure. ,Smoking helps you feel relaxed. ,Smoking gives you pleasure and relaxes you.,1
327,204,85,3,Thank you for clearing that up Do you have more positive things about smoking? Tell me if you can think of any, It  something to look forward to doing.,Smoking helps you enjoy life. ,Smoking is something you look forward to do.,1
328,205,86,3,Thank you for clearing that up What else do you find positive about smoking?, It helps me focus and concentrate.,Smoking helps you concentrate and concentrate. ,Smoking helps you focus.,1
329,206,87,3,"I'm sorry, I don't understand; I am in the process of learning the different kinds of answers. Can you write in a different way Don't worry, I'll give you options if I can't get what you're saying", It relaxes my mind and body.,Relaxing your mind and body. ,Smoking helps you relax.,1
330,207,88,3,Thank you for confirming my understanding I understand: smoking relieves you of stress Do you have more positive things about smoking? Tell me if you can think of any, Smoking gives me a pleasurable and happy feeling. ,Smoking makes you feel good. ,Smoking gives you pleasure.,1
331,208,89,3,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking,You are able to concentrate better when you smoke. ,Smoking helps you concentrate.,1
332,209,90,3,"I appreciate you confirming my knowledge I see, you feel compelled to smoke Do you have more positive things about smoking? Tell me if you can think of any", I like to smoke while I drink alcohol because it feel great,Drinking makes you feel good. ,Smoking feels good for you.,1
333,210,91,3,"Thank you for confirming my understanding OK, so smoking is pleasant and relaxing for you What else do you find positive about smoking?", I like to smoke if I am borred.,You enjoy smoking when you are bored or stressed out. ,Smoking helps you to not be bored.,1
334,211,92,3,"I appreciate you confirming my understanding OK, so smoking is pleasant and relaxing for you Are there other things that are good about smoking? If so, please tell me", It  gives me a nice sensation.,Smoking makes you happy.,Smoking makes you feel good.,1
335,212,93,3,"Sorry, I don't get what you're saying. Can you give more details I'm trying to learn what you say, I'll give you options if I can't figure it out", It  gives me a rush and makes me feel slightly high.,Smoking makes you feel good. ,Smoking makes you feel good.,1
336,213,94,3,"Sorry, I didn't understand what you said. Can you write it in a different way I'm trying to learn what you say, I'll give you options if I can't figure it out", I like to socialise with other people who smoke.,Smoking makes you feel good. ,Smoking helps you socialize.,1
337,214,95,3,"I appreciate you confirming my understanding OK, let me summarize what you said. You said ""I can concentrate more if I am smoking"", which I think is related to Nicotine dependence You also said ""I enjoy the kick"", ""Smoking gives me a pleasurable and happy feeling. "", ""I like to smoke while I drink alcohol because it feel great"", and ""I like to smoke if I am borred."", which I believe is essentially Feeling good You also said ""It  something to look forward to doing."", which I believe is essentially Routine You also said ""I like to socialise with other people who smoke."", which I believe is essentially Socializing You also said ""It relaxes me and gives me a sense of pleasure. "", ""It relaxes my mind and body."", and ""It  gives me a rush and makes me feel slightly high."", which I think is related to Stress OK. Let's now talk about the bad things about smoking What is it about smoking that makes it bad?", Im aware its very bad for your health.,Smoking causes lung cancer.,You're aware of how smoking affects your health.,0
338,215,96,3,"I appreciate you confirming my understanding I see, you are concerned about your health Do you have more negative things about smoking? Tell me if you can think of any", It can give you all sorts of diseases such as lung cancer.,Lung Cancer? That sounds terrible! How do you know this?,You're worried about the health effects of smoking.,1
339,216,97,3,"I appreciate you confirming my understanding I see, you are concerned about your health Do you have more negative things about smoking? Tell me if you can think of any", It makes your clothes and hair smell.,Your clothing smells bad. ,You don't like how smoking makes you smell.,1
340,217,98,3,"Thank you for confirming my understanding OK, so you smoke when people around you are smoking Do you have more negative things about smoking? Tell me if you can think of any", It can make you a social outcast.,You dislike being socially excluded from others. ,You're worried about how smoking affects you socially.,0
341,218,99,3,"Thank you for confirming my understanding I see, you think that cigarettes are expensive Are there other things that are bad about smoking? If so, please tell me", It gives off a bad example to my children,Your kids will be less likely to start smoking because they won't want their friends to do it.,You're worried about being a good role model to your children.,0
342,219,100,3,"I see, you want to be a good role model for the people close to you What else do you find negative about smoking?", Nicotine stains on furniture and walls are not nice,Your friends will notice this.,You're worried about how smoking affects your surroundings.,1
343,220,101,3,So you think Nicotine dependence is good and bad at the same time Please describe a time where you had a compelling feeling to smoke and actually smoked, When I wake up in the morning.,You're concerned with what others will say or think about you Smoking makes it harder to concentrate on work or school,You smoke at the start of your day.,0
344,221,102,3,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, When I had got off an airplane after a long journey.,You don't have any desire to quit smoking. ,You wanted to smoke after a long journey.,0
345,222,103,3,Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette?, Every time I buy a pack of ciggs I think about the cost the craving  makes me continue to smoke.,You bought cigarettes because they were cheap. ,You're worried about the cost of smoking.,0
346,223,104,3,Please describe a time where you thought about the cost of smoking and it prevented it you from smoking a cigarette, When I was saving up to go abroad it was a real intensive not to smoke. ,You were trying to save money for travel. ,Having a goal helped you to smoke less.,1
347,224,105,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had more will power and also I was using nicotine replacement therapy as in chewing gum,"Nicotine is addictive, so if you can stop taking it then you'll be better off.",Your willpower and the nicotine replacement helped you to not smoke.,1
348,225,106,3,Please describe a time where you smoked because you needed to feel good, I lost internet connection this evening for ten minutes so I smoked to cheer myself up.,The loss of your Internet Connection caused you to need something else to make you happy. ,Smoking made you feel good.,1
349,226,107,3,Please describe a time where you wanted to feel good and didn't get that through smoking, Most of the time to be honest!,You felt bad but you still smoked. ,Smoking doesn't always make you feel good.,1
350,227,108,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Will power and nicotine  replacement chewing gum.,"You used your willpower to stop smoking, but you still felt bad about it afterwards. ",Having a replacement and willpower helped you to not smoke.,0
351,228,109,3,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, When my  ex colleague  was diagnosed with  stage three lung cancer.,Being aware of the risks associated with smoking can help people stop smoking.,You were worried about the health effects of smoking.,1
352,229,110,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was feelimg good about myself and I had more determination.,"Being in control of your life is important, but being healthy also helps.",Feeling good and having determination helped you to not smoke.,1
353,230,111,3,Please desccribe a situation where you thought about wanting to be a good role model but ended up smoking, Nearly everyday when I'm around my children,Being asked by others is difficult. But being asked by them in return makes it easier.,Being a good role model makes you want to not smoke.,0
354,231,112,3,Please desccribe a situation where you thought about being a good role model and that cause you not to smoke, At a childrens birthday party I was detemined not to be seen as a smoker,The people who are most likely to see you as a role model will also be those least likely to smoke. ,You don't like being seen as a smoker.,0
355,232,113,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I felt like I didnt need to smoke brcause the nicotine gum was working,"Smoking is addictive, so if you are addicted then you will continue to smoke even though there is no reason to do so. ",The nicotine gum helped you not smoke.,1
356,233,114,3,Please describe a time where you smoked routinely without thinking about it, When I've got a lot on my mind I feel as if it gives me the go ahead to smoke. I don't even know how many I smoke during these periods.,"Smoking is something you do because of your thoughts, not because of what's in front of you. ",Smoking helps you think.,1
357,234,115,3,Please describe a time where you missed your routinely smoke, When I have none left at night time and the shop is shut. I feel as if I wont be able to cope. I certainly don't sleep well.,Your lack of sleep makes you miss your regularly smoke. ,Not smoking makes you agitated.,1
358,235,116,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had more of a positive and determined attitude. ,You are motivated by something else than just wanting to quit. ,Feeling positive and determined helped you to not smoke.,1
359,236,117,3,Please describe a time where you were worried about the smell of cigarettes but ended up smoking, When I was having visitors around for dinner. ,Smelling the cigarette gave you an opportunity to start smoking. ,You're worried about how the smell of smoking affects others.,0
360,237,118,3,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my children's friends come over to our home.,Your concern about the smell of smoking helps you avoid smoking. ,You're worried about how the smell of cigarettes affect others.,1
